Algorithms ,Comparators      ,Sizes  ,Milliseconds
Algorithm 5,byLongitude      , 29000 ,    1876
Algorithm 5,byLongitude      , 16000 ,     535
Algorithm 5,byLongitude      ,  4000 ,      29
Algorithm 5,byLongitude      ,  8000 ,     125
Algorithm 5,byLongitude      ,  2000 ,       6
Algorithm 5,byLongitude      ,  1000 ,       4
Algorithm 6,byName           , 29000 ,    1516
Algorithm 6,byName           , 16000 ,     365
Algorithm 6,byName           ,  4000 ,      20
Algorithm 6,byName           ,  8000 ,      95
Algorithm 6,byName           ,  2000 ,       9
Algorithm 6,byName           ,  1000 ,       0
Algorithm 6,byZipCode        , 29000 ,     717
Algorithm 6,byZipCode        , 16000 ,     202
Algorithm 6,byZipCode        ,  4000 ,      13
Algorithm 6,byZipCode        ,  8000 ,      52
Algorithm 6,byZipCode        ,  2000 ,       2
Algorithm 6,byZipCode        ,  1000 ,       0
Algorithm 6,byLongitude      , 29000 ,    1071
Algorithm 6,byLongitude      , 16000 ,     294
Algorithm 6,byLongitude      ,  4000 ,      22
Algorithm 6,byLongitude      ,  8000 ,      78
Algorithm 6,byLongitude      ,  2000 ,       9
Algorithm 6,byLongitude      ,  1000 ,       0
Algorithm 7,byName           , 29000 ,    3676
Algorithm 7,byName           , 16000 ,     910
Algorithm 7,byName           ,  4000 ,      56
Algorithm 7,byName           ,  8000 ,     226
Algorithm 7,byName           ,  2000 ,      16
Algorithm 7,byName           ,  1000 ,       3
Algorithm 7,byZipCode        , 29000 ,    2119
Algorithm 7,byZipCode        , 16000 ,     461
Algorithm 7,byZipCode        ,  4000 ,      29
Algorithm 7,byZipCode        ,  8000 ,     113
Algorithm 7,byZipCode        ,  2000 ,       8
Algorithm 7,byZipCode        ,  1000 ,       4
Algorithm 7,byLongitude      , 29000 ,    2274
Algorithm 7,byLongitude      , 16000 ,     602
Algorithm 7,byLongitude      ,  4000 ,      40
Algorithm 7,byLongitude      ,  8000 ,     149
Algorithm 7,byLongitude      ,  2000 ,       9
Algorithm 7,byLongitude      ,  1000 ,       2
